Samples - X-Axis	Acceleration (g) - X-Axis	Samples - Y-Axis	Acceleration (g) - Y-Axis	Samples - Z-Axis	Acceleration (g) - Z-Axis
531	-0,0898437	531	0,046875	531	0,964844
532	-0,0585937	532	0,0742187	532	0,957031
533	-0,0234375	533	0,078125	533	0,960937
534	-0,0273437	534	0,0859375	534	0,980469
535	-0,0507812	535	0,0898437	535	0,984375
536	-0,0507812	536	0,0898437	536	0,984375
537	-0,0703125	537	0,0859375	537	1,00781
538	-0,0820312	538	0,078125	538	1,01953
539	-0,113281	539	0,0585937	539	1,03125
540	-0,121094	540	0,0390625	540	1,02344
541	-0,117187	541	0,0195312	541	1,01953
542	-0,109375	542	0,0195312	542	1,01172
543	-0,09375	543	0,0351562	543	0,992187
544	-0,0703125	544	0,0507812	544	0,96875
545	-0,0351562	545	0,0664062	545	0,972656
546	-0,0273437	546	0,0859375	546	0,980469
547	-0,03125	547	0,0898437	547	0,984375
548	-0,03125	548	0,0859375	548	0,992187
549	-0,0664062	549	0,0820312	549	1,00781
550	-0,0976562	550	0,078125	550	1,01563
551	-0,128906	551	0,0664062	551	1,01953
552	-0,148437	552	0,0429687	552	1,02344
553	-0,148437	553	0,015625	553	1,01953
554	-0,128906	554	0,00390625	554	1,00781
555	-0,105469	555	0,0234375	555	0,992187
556	-0,0820312	556	0,046875	556	0,976562
557	-0,0273437	557	0,0625	557	0,960937
558	-0,00390625	558	0,0859375	558	0,953125
559	-0,00390625	559	0,09375	559	0,960937
560	-0,0195312	560	0,101562	560	0,976562
561	-0,0351562	561	0,0859375	561	0,992187
562	-0,0546875	562	0,0820312	562	1,00781
563	-0,109375	563	0,0703125	563	1,02734
564	-0,136719	564	0,046875	564	1,01563
565	-0,140625	565	0,0195312	565	1,01953
566	-0,148437	566	0,0117187	566	1
567	-0,140625	567	0,015625	567	0,988281
568	-0,101562	568	0,0390625	568	0,964844
569	-0,0585937	569	0,0507812	569	0,949219
570	-0,03125	570	0,078125	570	0,945312
571	-0,0195312	571	0,0898437	571	0,945312
572	-0,0117187	572	0,09375	572	0,957031
573	-0,0273437	573	0,0859375	573	0,972656
574	-0,0507812	574	0,0820312	574	1
575	-0,0820312	575	0,078125	575	1,01563
576	-0,105469	576	0,0546875	576	1,02344
577	-0,121094	577	0,0273437	577	1,01953
578	-0,144531	578	0,015625	578	1,01172
579	-0,125	579	0,0195312	579	0,992187
580	-0,113281	580	0,0351562	580	0,976562
581	-0,0859375	581	0,0507812	581	0,960937
582	-0,046875	582	0,0664062	582	0,957031
